SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-16-2017,Condo/Co-op,1409 Oxford #6,Berkeley,CA,94709-1457,850000,3,2.0,Berkeley,1146,,1962,96,742,320,Sold,,,http://www.redfin.com/CA/Berkeley/1409-Oxford-St-94709/unit-6/home/1291896,EBRD/CCAR/Bay East,40779990,N,Y,37.8820149,-122.2668806
PAST SALE,April-18-2017,Single Family Residential,1834 63Rd St,Berkeley,CA,94703,940000,2,1.5,Le Conte,1325,5400,1906,155,709,,Sold,,,http://www.redfin.com/CA/Berkeley/1834-63rd-St-94703/home/651697,EBRD/CCAR/Bay East,40771117,N,N,37.8478248,-122.2697732
PAST SALE,July-28-2017,Single Family Residential,1839 63Rd St,Berkeley,CA,94703,860000,2,1.0,Santa Fe,1092,4455,1907,54,788,,Sold,,,http://www.redfin.com/CA/Berkeley/1839-63rd-St-94703/home/1309093,EBRD/CCAR/Bay East,40787457,N,Y,37.848338,-122.269522
PAST SALE,August-18-2017,Single Family Residential,1613 5th St,Berkeley,CA,94710-1714,900000,2,1.0,West Berkeley,980,6110,1987,33,918,,Sold,,,http://www.redfin.com/CA/Berkeley/1613-5th-St-94710/home/674837,EBRD/CCAR/Bay East,40790651,N,Y,37.873378,-122.300281
PAST SALE,April-26-2017,Single Family Residential,1946 Yosemite Rd,Berkeley,CA,94707,1525000,3,2.5,Thousand Oaks,2167,4692,1925,147,704,,Sold,,,http://www.redfin.com/CA/Berkeley/1946-Yosemite-Rd-94707/home/1964415,EBRD/CCAR/Bay East,40775608,N,Y,37.8963155,-122.2767431
PAST SALE,May-23-2017,Single Family Residential,2504 Grant St,Berkeley,CA,94703,843000,3,3.0,Central Berkeley,1434,3920,1920,120,588,,Sold,,,http://www.redfin.com/CA/Berkeley/2504-Grant-St-94703/home/1291559,EBRD/CCAR/Bay East,40779589,N,Y,37.8627953,-122.2745778
PAST SALE,May-26-2017,Single Family Residential,800 Cragmont Ave,Berkeley,CA,94708,2165000,5,4.0,Berkeley Hills,3224,7102,1942,117,672,,Sold,,,http://www.redfin.com/CA/Berkeley/800-Cragmont-Ave-94708/home/1226370,EBRD/CCAR/Bay East,40776841,N,Y,37.8953654,-122.2676914
PAST SALE,June-15-2017,Single Family Residential,1115 Hearst Ave,Berkeley,CA,94702,1270000,3,2.5,North/West,2334,,2002,97,544,50,Sold,,,http://www.redfin.com/CA/Berkeley/1115-Hearst-Ave-94702/home/21629860,EBRD/CCAR/Bay East,40781072,N,Y,37.8709078,-122.2919415
PAST SALE,April-28-2017,Condo/Co-op,1357 Peralta Ave,Berkeley,CA,94702,947500,2,1.0,Monterey Market,1287,,1948,145,736,0,Sold,,,http://www.redfin.com/CA/Berkeley/1357-Peralta-Ave-94702/unit-2/home/1226031,EBRD/CCAR/Bay East,40773504,N,Y,37.878614,-122.288348
PAST SALE,June-20-2017,Single Family Residential,1607 Channing Way,Berkeley,CA,94703,775000,2,1.0,Berkeley,1257,3150,1925,92,617,,Sold,,,http://www.redfin.com/CA/Berkeley/1607-Channing-Way-94703/home/1460462,EBRD/CCAR/Bay East,40783313,N,Y,37.8645281,-122.27867
PAST SALE,June-13-2017,Single Family Residential,814 Vincente Ave,Berkeley,CA,94707,1035000,3,1.0,Thousand Oaks,1254,4900,1927,99,825,,Sold,,,http://www.redfin.com/CA/Berkeley/814-Vincente-Ave-94707/home/699396,EBRD/CCAR/Bay East,40778596,N,Y,37.8933189,-122.2851156
PAST SALE,June-19-2017,Condo/Co-op,1801 University Ave #307,Berkeley,CA,94703,550000,2,1.0,Central Berkeley,695,,1998,93,791,343,Sold,,,http://www.redfin.com/CA/Berkeley/1801-University-Ave-94703/unit-307/home/1976247,EBRD/CCAR/Bay East,40780573,N,Y,37.8715498,-122.2750624
PAST SALE,June-23-2017,Single Family Residential,1528 HEARST Ave,Berkeley,CA,94703,1505000,5,3.0,Central Berkeley,2307,4875,1921,89,652,,Sold,,,http://www.redfin.com/CA/Berkeley/1528-Hearst-Ave-94703/home/1297567,EBRD/CCAR/Bay East,40782256,N,Y,37.8721071,-122.2808866
PAST SALE,June-20-2017,Condo/Co-op,1113 Parker St,Berkeley,CA,94702,725000,3,2.0,Berkeley,1552,,2006,92,467,160,Sold,,,http://www.redfin.com/CA/Berkeley/1113-Parker-St-94702/home/12119390,EBRD/CCAR/Bay East,40780085,N,Y,37.859673,-122.288403
PAST SALE,June-30-2017,Single Family Residential,261 Trinity Ave,Kensington,CA,94708,1270000,4,3.0,Upper Kensington,1836,4000,1950,82,692,,Sold,,,http://www.redfin.com/CA/Kensington/261-Trinity-Ave-94708/home/1547698,EBRD/CCAR/Bay East,40784404,N,Y,37.9069234,-122.2743976
PAST SALE,,Multi-Family (2-4 Unit),2123 Blake St,Berkeley,CA,94704,2900000,16,16.0,,7074,10400,1962,,410,,,,,http://www.redfin.com/CA/Berkeley/2123-Blake-St-94704/home/1414421,,,N,Y,37.8634519,-122.2663094
PAST SALE,June-30-2017,Single Family Residential,1530 Blake St,Berkeley,CA,94703,1051000,2,1.0,Central Berkeley,1008,5054,1925,82,1043,,Sold,,,http://www.redfin.com/CA/Berkeley/1530-Blake-St-94703/home/1976194,EBRD/CCAR/Bay East,40783241,N,Y,37.8613469,-122.2793518
PAST SALE,June-6-2017,Single Family Residential,1420 Acton Cres,Berkeley,CA,94702,1075000,2,2.0,Strawberry Creek,944,3808,1943,106,1139,,Sold,,,http://www.redfin.com/CA/Berkeley/1420-Acton-Cres-94702/home/1759902,EBRD/CCAR/Bay East,40781508,N,Y,37.8678245,-122.2831849
